file,sensor,segment,label,fault_size,load,position,rpm,bearing_type,mean,std,rms,peak,skewness,kurtosis,crest_factor,impulse_factor,shape_factor,clearance_factor,total_energy,spectral_centroid,spectral_bandwidth,energy_band_1,energy_band_2,energy_band_3,energy_band_4,BPFO_amplitude,BPFO_energy,BPFI_amplitude,BPFI_energy,BSF_amplitude,BSF_energy,FR_amplitude,FR_energy,envelope_mean,envelope_std,envelope_rms,envelope_peak,envelope_spectral_energy,envelope_spectral_centroid,stft_energy,stft_peak_freq,time_concentration,freq_concentration,cwt_energy,cwt_peak_freq,file_id
B007_0.mat,DE,0,B,0.007,0,,1796.0,SKF6205,0.056887173870913986,-0.22936451586234252,-0.22940804500127585,-0.191277248771544,0.04090576521136739,-0.6733240438131854,-0.967840059074589,-0.8650488666817373,-0.7640997520295234,-0.8189321475413368,-0.1385461981380362,-0.5935237084872883,-1.0100304184726285,-0.17679246249826058,-0.18441141418189816,-0.13655533824524904,-0.12810891436026034,-0.24373159283802195,-0.1957886483115462,-0.033754519313510686,-0.13843941533093465,-0.24982786519778125,-0.18549206157742573,-0.24876525212309458,-0.17095838815287887,-0.26686632626133594,-0.2698521572002487,-0.27139196005607463,-0.214098576067821,-0.1350406416527538,-0.6941791336415521,-0.138757247569505,0.029148681114157336,-0.5569092743925756,0.2056683890652616,-0.14589331941395123,0.932392203215446,
B007_0.mat,DE,1,B,0.007,0,,1796.0,SKF6205,-0.024531164912992093,-0.2293404969062829,-0.22938433631699376,-0.19178316238474055,-0.06681925532457747,-0.6704155593988542,-1.0326457718023596,-0.8967440101296918,-0.7264120718680961,-0.8388011390691084,-0.13854617057430837,-0.6079833385685922,-1.0824927358815695,-0.1767881297973784,-0.18441130302500391,-0.13655533630349626,-0.1281089145478398,-0.25234603028088737,-0.19580356392870213,-0.020375174969779034,-0.13801081808835622,-0.24770154752866863,-0.18548792495822594,-0.24451339597799607,-0.17095054999221734,-0.2671980995491819,-0.2690545990240225,-0.27136852921148646,-0.2156496687825968,-0.13503953734359986,-0.8142027450355317,-0.13875929752851396,-0.21997356886083447,-0.5451930434353479,0.21787089358000952,-0.14589179666035748,0.6443586164377323,
B007_0.mat,DE,2,B,0.007,0,,1796.0,SKF6205,-0.015698628115777165,-0.22864659813397345,-0.22869044581301315,-0.19194259938764913,-0.34158994698146744,-0.663164802643712,-1.081102058683473,-0.9226041890170861,-0.7089588104071544,-0.8580682333091503,-0.13854534593146056,-0.6119970566632025,-1.1260646921979747,-0.1767809120220294,-0.18440067938691435,-0.13655533911703552,-0.12810891456509724,-0.24412515412693409,-0.19579176081658836,-0.025265950316265103,-0.1381312554129526,-0.2502886029159665,-0.18549166217044274,-0.24837397321205779,-0.17096001453022364,-0.2661114772719031,-0.2674589876329007,-0.27014979757188634,-0.2149451989611746,-0.13503727428679188,-0.7460618442278402,-0.1387549555815168,0.006501203843703536,-0.5582193111142149,0.25018404871135635,-0.14588861617536414,0.6443586164377323,
B007_0.mat,DE,3,B,0.007,0,,1796.0,SKF6205,-0.051927345522157026,-0.2290024876180963,-0.2290462081852852,-0.191676866984758,-0.3082819432063285,-0.6651417115161036,-1.0334641015533657,-0.8982472320110796,-0.7321953917992211,-0.8410413405159378,-0.13854577033490914,-0.6027588637575282,-1.0482525269767033,-0.17676948152630145,-0.18440702280469945,-0.13655534398821947,-0.12810891448276465,-0.24546470865763537,-0.19579214800588682,-0.041776230839429544,-0.1386687111706085,-0.2509991614570698,-0.18549172167864916,-0.24719589769362768,-0.17096079512984658,-0.2665649979640688,-0.26879460188137355,-0.2708667469905822,-0.2140916777301511,-0.13503917347771702,-0.8102459748696518,-0.13875813674713358,-0.21997356886083447,-0.5446105787726548,0.1650807490428759,-0.14589191906691942,0.932392203215446,
B007_0.mat,DE,4,B,0.007,0,,1796.0,SKF6205,-0.04741698981992935,-0.23007619980040042,-0.23011995315835862,-0.191676866984758,-0.24409949853718346,-0.6569995856532779,-0.9874826706288949,-0.8639237545447037,-0.6934976719541128,-0.808803956874736,-0.138547029423727,-0.5908367530842024,-0.9811986340784672,-0.1767759584126788,-0.184423517148925,-0.13655533785179838,-0.12810891427154272,-0.24991793512100927,-0.19580161843878738,-0.022444817869099798,-0.13807669847071025,-0.24919156458922292,-0.18549031997827234,-0.24347384349060533,-0.1709570202064028,-0.2694403440796412,-0.26879951756635795,-0.27277541947416795,-0.21409150899862517,-0.13503918037488535,-0.7928269992256652,-0.13875975287152548,0.029148681114157336,-0.5567731484586579,0.11414754938791144,-0.14589678553810603,0.932392203215446,
B007_0.mat,DE,5,B,0.007,0,,1796.0,SKF6205,0.00013137837858721052,-0.22981505389564055,-0.22985890720755692,-0.19003546081187975,-0.12694422565359845,-0.6487483966641205,-0.7895366198924344,-0.7455920399275094,-0.6942803653097437,-0.7160572712125496,-0.13854672652874242,-0.6032382205473462,-1.0492006448766413,-0.1767596397778345,-0.18442042215041016,-0.13655533706074185,-0.1281089144389413,-0.24278310655110655,-0.19578394582607517,-0.022226721529837856,-0.13804695829204547,-0.2513587649514406,-0.18549214128211006,-0.2447820226843439,-0.17095762455641764,-0.26919128536433523,-0.2680961284350015,-0.2723870122047476,-0.21228483485268454,-0.1350381865406364,-0.7565829431506063,-0.1387608911227464,0.029148681114157336,-0.5447157352655538,0.2738533938299414,-0.1458940528658107,0.932392203215446,
B007_0.mat,DE,6,B,0.007,0,,1796.0,SKF6205,0.019285802934198997,-0.23066252321287922,-0.23070632699943003,-0.19003546081187975,-0.42243281682607914,-0.6403272705279793,-0.7474296086017028,-0.7207284057083165,-0.6959269156059839,-0.6986991561102527,-0.1385477028931127,-0.5674041670515195,-0.8379183741217668,-0.1767484307760817,-0.18443417157214914,-0.1365553333414399,-0.12810891365092444,-0.2479614405065296,-0.19579656069833903,-0.044728129601946394,-0.13874126426368516,-0.24960845422191627,-0.18549099165009333,-0.24373487677967617,-0.1709565217362001,-0.2711131930285796,-0.26919608248291343,-0.2740052529428435,-0.21228490081382762,-0.13503973455004045,-0.7873770569283313,-0.13876201937285326,0.029148681114157336,-0.5374176467414071,0.1412310955326777,-0.14589566044665714,0.932392203215446,
B007_0.mat,DE,7,B,0.007,0,,1796.0,SKF6205,-0.05103898632983597,-0.22971291680165798,-0.22975664652037905,-0.18815489303757335,-0.4118632610404404,-0.6393170409122257,-0.5552531244953492,-0.6012441117084537,-0.6759426091895867,-0.6016244891398725,-0.13854660714445963,-0.5888677490389395,-0.9355659290074639,-0.17674382028088798,-0.18441975345169992,-0.13655533879617734,-0.12810891411726588,-0.2487345350084732,-0.19579958411335674,-0.024702076129755477,-0.138140073208828,-0.25088457334126846,-0.1854913806370333,-0.2453109504720427,-0.17095673235486636,-0.26927327552536845,-0.2676553104592691,-0.27229942734405144,-0.21308642785765936,-0.13503755659864802,-0.8068984817744853,-0.1387591072698264,0.006501203843703536,-0.5432550841561973,0.2278065219158368,-0.14588762467639885,0.932392203215446,
B007_0.mat,DE,8,B,0.007,0,,1796.0,SKF6205,-0.002072744346531152,-0.22895427701475718,-0.22899812607434705,-0.18815489303757335,-0.012714596941438821,-0.6584584832791941,-0.5957138601964328,-0.633700194485272,-0.712904259481477,-0.6303811708869159,-0.13854571332328436,-0.5671841488002628,-0.8407891665700101,-0.17672017326614678,-0.18440918896714514,-0.13655533629611397,-0.1281089136164199,-0.24374253689702755,-0.1957781625566569,-0.024096062657780012,-0.138107410220053,-0.2508121025285506,-0.1854922368832277,-0.24603814611915453,-0.17095863813781526,-0.2672368510152219,-0.2681437623851399,-0.27111051120745183,-0.21308643174363948,-0.13503825428329552,-0.7850264022447555,-0.13875702936042864,0.029148681114157336,-0.5354734232460678,0.20138798194172558,-0.1458820581605308,0.932392203215446,
B007_0.mat,DE,9,B,0.007,0,,1796.0,SKF6205,0.08248475532715306,-0.2288518195938286,-0.22889505102605603,-0.18979629921045163,0.0036341443949964194,-0.6747713788144283,-0.8055268553270586,-0.7653825010085084,-0.7455818757209408,-0.7370519563662404,-0.13854558981507573,-0.6123990646080523,-1.05048291711628,-0.17673082745042262,-0.1844068897056312,-0.13655533990089974,-0.12810891455738396,-0.2438895037168579,-0.1957814874476021,-0.040984714296748215,-0.13867012712383944,-0.24934361951632134,-0.1854906184530939,-0.23953485462973423,-0.17094939045686336,-0.26642576719302097,-0.2691756948702592,-0.27089114481798776,-0.21233421314344283,-0.1350397061675659,-0.7747389243457067,-0.13875647912830888,-0.016146273426750263,-0.5386467093986407,0.26655054112004245,-0.14588375104785956,0.6443586164377323,
